
test score: 741.6, max tile: 128.0

test score: 905.5999999999999, max tile: 128.0

test score: 1168.8, max tile: 256.0

test score: 1283.2, max tile: 256.0

test score: 894.4000000000001, max tile: 128.0

test score: 856.0, max tile: 128.0

test score: 1012.8, max tile: 128.0

test score: 858.4000000000001, max tile: 128.0

test score: 732.8, max tile: 128.0

test score: 921.5999999999999, max tile: 256.0

test score: 620.0, max tile: 128.0

test score: 949.5999999999999, max tile: 256.0

test score: 1020.8, max tile: 128.0

test score: 1091.2, max tile: 256.0

test score: 1118.4, max tile: 256.0

test score: 994.4000000000001, max tile: 256.0

test score: 623.2, max tile: 128.0

test score: 1017.5999999999999, max tile: 128.0

test score: 1102.4, max tile: 128.0

test score: 1133.6, max tile: 256.0

test score: 928.8, max tile: 256.0

test score: 935.2, max tile: 128.0

test score: 857.5999999999999, max tile: 128.0

test score: 746.4, max tile: 128.0

test score: 789.6, max tile: 128.0

test score: 1922.4, max tile: 256.0

test score: 914.4000000000001, max tile: 256.0

test score: 993.5999999999999, max tile: 256.0

test score: 700.0, max tile: 128.0

test score: 1032.8, max tile: 256.0

test score: 928.8, max tile: 128.0

test score: 441.6, max tile: 64.0

test score: 968.0, max tile: 128.0

test score: 969.5999999999999, max tile: 128.0

test score: 1360.0, max tile: 256.0

test score: 791.2, max tile: 128.0

test score: 936.0, max tile: 128.0

test score: 760.0, max tile: 128.0

test score: 1072.8, max tile: 256.0

test score: 998.4000000000001, max tile: 256.0

test score: 712.8, max tile: 128.0

test score: 939.2, max tile: 128.0

test score: 916.8, max tile: 128.0

test score: 900.0, max tile: 256.0

test score: 1328.8, max tile: 256.0

test score: 1375.2, max tile: 256.0

test score: 748.8, max tile: 128.0

test score: 784.0, max tile: 256.0

test score: 1060.0, max tile: 256.0

test score: 871.2, max tile: 256.0

test score: 676.0, max tile: 128.0

test score: 1212.0, max tile: 256.0

test score: 932.0, max tile: 256.0

test score: 976.8, max tile: 128.0

test score: 950.4000000000001, max tile: 128.0

test score: 1253.6, max tile: 256.0

test score: 632.8, max tile: 128.0

test score: 890.4000000000001, max tile: 256.0

test score: 1066.4, max tile: 256.0

test score: 917.5999999999999, max tile: 128.0

test score: 786.4, max tile: 256.0

test score: 889.5999999999999, max tile: 128.0

test score: 1425.6, max tile: 256.0

test score: 1196.8, max tile: 256.0

test score: 1300.8, max tile: 256.0

test score: 797.6, max tile: 128.0

test score: 664.8, max tile: 128.0

test score: 1235.2, max tile: 256.0

test score: 685.6, max tile: 128.0

test score: 1108.0, max tile: 256.0

test score: 972.8, max tile: 256.0

test score: 1111.2, max tile: 128.0

test score: 650.4, max tile: 128.0

test score: 1074.4, max tile: 128.0

test score: 554.4, max tile: 128.0

test score: 1268.0, max tile: 128.0

test score: 1117.6, max tile: 256.0

test score: 1028.8, max tile: 256.0

test score: 1363.2, max tile: 256.0

test score: 1220.8, max tile: 256.0

test score: 894.4000000000001, max tile: 128.0

test score: 1154.4, max tile: 256.0

test score: 691.2, max tile: 128.0

test score: 1032.8, max tile: 256.0

test score: 892.8, max tile: 256.0

test score: 1351.2, max tile: 256.0

test score: 1116.0, max tile: 256.0

test score: 1046.4, max tile: 256.0

test score: 835.2, max tile: 128.0

test score: 859.2, max tile: 128.0

test score: 749.6, max tile: 128.0

test score: 1077.6, max tile: 256.0

test score: 1451.2, max tile: 256.0

test score: 1029.6, max tile: 256.0

test score: 1449.6, max tile: 256.0

test score: 819.2, max tile: 128.0

test score: 881.5999999999999, max tile: 128.0

test score: 1392.8, max tile: 256.0

test score: 902.4000000000001, max tile: 128.0

test score: 663.2, max tile: 128.0

test score: 1093.6, max tile: 256.0

test score: 524.8, max tile: 128.0

test score: 1268.8, max tile: 256.0

test score: 620.8, max tile: 128.0

test score: 1294.4, max tile: 256.0

test score: 1786.4, max tile: 256.0

test score: 535.2, max tile: 64.0

